source_x,source_y,reference_x,reference_y,residual_px,residual_m
288.0,216.0,287.4130554199219,217.40191650390625,1.386669923699775,6.933349618498875
296.0,216.0,295.9183654785156,216.47103881835938,0.44763641232686335,2.238182061634317
248.0,224.0,247.67861938476562,224.1134490966797,0.09811872273936884,0.4905936136968442
288.0,224.0,288.4947814941406,224.23779296875,0.7606641736069278,3.803320868034639
296.0,224.0,297.0208740234375,223.81419372558594,1.290192409460648,6.45096204730324
248.0,232.0,247.90420532226562,231.562744140625,0.5203396790906836,2.601698395453418
256.0,232.0,255.8408966064453,231.48143005371094,0.5873338242298799,2.9366691211493996
272.0,232.0,272.44830322265625,232.00486755371094,0.6881932016807204,3.440966008403602
280.0,232.0,279.52435302734375,231.14117431640625,0.9504800136911095,4.752400068455548
296.0,232.0,296.03875732421875,231.4854736328125,0.6395762973255832,3.197881486627916
232.0,240.0,232.02944946289062,239.91786193847656,0.29637600145076215,1.4818800072538107
248.0,240.0,247.2364959716797,239.0410614013672,1.1564556588040946,5.7822782940204736
256.0,240.0,256.3692626953125,239.9747314453125,0.6065183881350856,3.0325919406754283
272.0,240.0,272.0550231933594,240.29737854003906,0.3706655638319373,1.8533278191596865
280.0,240.0,280.9059143066406,239.53904724121094,1.2554433969959526,6.277216984979763
296.0,240.0,295.67523193359375,240.56253051757812,0.5079016146213906,2.539508073106953
200.0,248.0,201.13168334960938,246.4649658203125,2.0980664038093533,10.490332019046766
240.0,248.0,239.0469207763672,247.16246032714844,1.1639688718617034,5.819844359308517
256.0,248.0,256.1318664550781,247.6501007080078,0.5500965598832019,2.7504827994160097
280.0,248.0,280.09228515625,247.31982421875,0.81257978981601,4.06289894908005
288.0,248.0,288.2989501953125,247.9259490966797,0.5486933037661995,2.7434665188309975
296.0,248.0,295.74835205078125,248.14599609375,0.08391626899234071,0.4195813449617036
264.0,256.0,263.2149963378906,255.5767364501953,0.746829007227297,3.7341450361364847
280.0,256.0,279.90472412109375,254.68943786621094,1.384269890794273,6.921349453971365
288.0,256.0,288.1238708496094,254.95249938964844,1.168401699435563,5.842008497177815
296.0,256.0,295.4989318847656,254.8553924560547,1.2408285785759743,6.204142892879871
304.0,256.0,303.8545227050781,256.1582946777344,0.12599733730862522,0.6299866865431261
72.0,264.0,73.02484893798828,263.79339599609375,1.2450099165510646,6.225049582755323
80.0,264.0,80.14936828613281,263.8863830566406,0.39125950880379645,1.9562975440189823
88.0,264.0,88.45404815673828,263.6059265136719,0.8019087247374943,4.009543623687471
264.0,264.0,263.7733154296875,263.96893310546875,0.1022437307750469,0.5112186538752346
288.0,264.0,287.53570556640625,263.7624816894531,0.3896180481209116,1.9480902406045582
296.0,264.0,295.3501281738281,265.0262756347656,1.0483288079955666,5.2416440399778335
96.0,272.0,96.04171752929688,272.0223388671875,0.23585414768074453,1.1792707384037227
136.0,272.0,135.5613555908203,270.7926025390625,1.3152487190729136,6.576243595364568
168.0,272.0,168.3016815185547,273.14239501953125,1.1724607571812518,5.862303785906259
200.0,272.0,199.8732147216797,272.558349609375,0.4857623068853162,2.428811534426581
208.0,272.0,207.14439392089844,273.3285827636719,1.4098290485482343,7.049145242741171
264.0,272.0,263.8428039550781,273.059326171875,0.9881813470146938,4.940906735073469
272.0,272.0,273.2694396972656,272.490478515625,1.5435234427144444,7.717617213572222
280.0,272.0,280.0397033691406,272.0490417480469,0.25840347401732433,1.2920173700866218
288.0,272.0,288.19146728515625,272.1701354980469,0.42251613281266315,2.112580664063316
56.0,280.0,56.91545867919922,278.8028259277344,1.6887833918430135,8.443916959215068
64.0,280.0,64.34813690185547,279.305419921875,0.9453864038413319,4.726932019206659
72.0,280.0,71.90348052978516,279.4184875488281,0.6784887168975707,3.3924435844878538
104.0,280.0,104.07401275634766,279.69189453125,0.4727602512456052,2.363801256228026
120.0,280.0,118.95112609863281,279.078369140625,1.3288035129506521,6.644017564753261
128.0,280.0,126.64391326904297,278.73492431640625,1.7880291489712343,8.94014574485617
136.0,280.0,133.81275939941406,278.6231994628906,2.477748844941119,12.388744224705594
176.0,280.0,175.59176635742188,280.980712890625,0.9229252029240212,4.614626014620106
200.0,280.0,200.16212463378906,281.16455078125,1.1425747674846503,5.712873837423251
208.0,280.0,208.8121795654297,281.1343078613281,1.4620380904441406,7.310190452220703
216.0,280.0,217.1505584716797,280.0632019042969,1.3526839778907103,6.7634198894535515
72.0,288.0,72.27559661865234,286.1996765136719,1.9466898629942526,9.733449314971264
80.0,288.0,79.59805297851562,287.4170227050781,0.7140144396553338,3.5700721982766694
136.0,288.0,135.7692108154297,288.1617126464844,0.08728384908941282,0.4364192454470641
144.0,288.0,143.52117919921875,286.334716796875,1.7773978126243293,8.886989063121646
184.0,288.0,184.2635955810547,288.012939453125,0.46116518294545966,2.3058259147272984
192.0,288.0,192.19976806640625,288.0942077636719,0.3934163493038457,1.9670817465192285
200.0,288.0,201.3585205078125,289.01361083984375,1.811107103502655,9.055535517513274
208.0,288.0,207.7563934326172,288.80047607421875,0.7202221400728636,3.601110700364318
216.0,288.0,216.39810180664062,287.39337158203125,0.9099618892491587,4.549809446245793
224.0,288.0,224.1886444091797,287.56988525390625,0.6411050950375706,3.2055254751878532
272.0,288.0,271.5620422363281,288.0632019042969,0.2304823839453494,1.152411919726747
64.0,296.0,63.24645233154297,293.95318603515625,2.2226626146781094,11.113313073390547
80.0,296.0,79.94135284423828,296.2331237792969,0.17659068045247037,0.8829534022623519
88.0,296.0,87.9106216430664,296.3390808105469,0.2575470490182409,1.2877352450912043
136.0,296.0,135.62986755371094,295.53350830078125,0.5886165270752906,2.9430826353764528
144.0,296.0,144.0172576904297,296.5049133300781,0.4600824307151346,2.300412153575673
152.0,296.0,153.24217224121094,295.62835693359375,1.496858534770214,7.484292673851069
184.0,296.0,183.97296142578125,296.4045104980469,0.3568579939776284,1.784289969888142
192.0,296.0,191.51089477539062,297.58172607421875,1.5262705535688925,7.631352767844462
200.0,296.0,201.31288146972656,295.7322082519531,1.5442881491554585,7.721440745777293
208.0,296.0,208.51223754882812,295.492919921875,0.9193457412694712,4.596728706347356
232.0,296.0,232.146240234375,296.2089538574219,0.36558538914720695,1.8279269457360348
288.0,296.0,288.6206359863281,295.8167724609375,0.8669001471460569,4.334500735730284
48.0,304.0,48.29156494140625,304.037109375,0.4551932288974095,2.2759661444870476
56.0,304.0,55.754756927490234,303.3175964355469,0.7865034916446189,3.9325174582230944
64.0,304.0,62.70640182495117,302.3429260253906,2.0888824918131106,10.444412459065553
80.0,304.0,80.02510070800781,303.3196105957031,0.8006245337096838,4.003122668548419
88.0,304.0,87.52574157714844,302.9319763183594,1.2046472886281936,6.023236443140968
96.0,304.0,96.73058319091797,303.774169921875,0.954275143276143,4.771375716380716
104.0,304.0,104.26163482666016,303.4644775390625,0.7638252890129609,3.8191264450648044
112.0,304.0,111.45735168457031,303.8885192871094,0.4251480743186139,2.1257403715930696
120.0,304.0,121.68343353271484,304.1375427246094,1.8560764841222357,9.28038242061118
128.0,304.0,128.55174255371094,303.0259094238281,1.2902250343910686,6.4511251719553435
152.0,304.0,152.61264038085938,305.0971374511719,1.2797035827701204,6.398517913850602
192.0,304.0,191.9767608642578,304.4822692871094,0.4269752883943283,2.1348764419716417
200.0,304.0,199.01979064941406,303.581787109375,0.940573030140356,4.70286515070178
216.0,304.0,215.13681030273438,304.2239990234375,0.688062885066933,3.440314425334665
224.0,304.0,223.89251708984375,305.0837097167969,1.002959684189842,5.0147984209492105
232.0,304.0,232.84716796875,304.82672119140625,1.27775988090767,6.38879940453835
72.0,312.0,72.17375183105469,312.1915588378906,0.34539443672598286,1.7269721836299143
80.0,312.0,79.7478256225586,312.9600524902344,0.8656140743206452,4.328070371603226
96.0,312.0,96.47850036621094,311.6056823730469,0.8090007169994033,4.0450035849970165
104.0,312.0,103.53059387207031,311.73931884765625,0.4697359986824426,2.348679993412213
112.0,312.0,111.15525817871094,312.0666198730469,0.6789375044563879,3.3946875222819397
120.0,312.0,120.41522979736328,312.30718994140625,0.6203095988729493,3.1015479943647466
136.0,312.0,136.0313262939453,312.0135192871094,0.2175834176399305,1.0879170881996525
152.0,312.0,152.2510986328125,312.63494873046875,0.6887711776408905,3.4438558882044523
200.0,312.0,199.57830810546875,310.3094482421875,1.7949340303469445,8.974670151734722
224.0,312.0,222.66058349609375,312.1934509277344,1.1578768433846265,5.789384216923132
248.0,312.0,249.05702209472656,312.3731384277344,1.2809142890338796,6.404571445169398
64.0,320.0,61.5924072265625,318.29669189453125,2.8882467646619108,14.441233823309554
72.0,320.0,72.07365417480469,320.66790771484375,0.6104257684621177,3.0521288423105886
96.0,320.0,95.3142318725586,319.8028869628906,0.6043540173846228,3.021770086923114
104.0,320.0,104.11404418945312,319.8143005371094,0.39572928602242735,1.9786464301121367
112.0,320.0,112.11394500732422,320.72906494140625,0.6885745473722972,3.442872736861486
152.0,320.0,152.6214141845703,321.040283203125,1.232717034241945,6.163585171209725
200.0,320.0,199.45614624023438,320.0258483886719,0.3714951915175476,1.857475957587738
256.0,320.0,255.72998046875,319.7760009765625,0.3198503228279026,1.599251614139513
264.0,320.0,263.8751525878906,319.8321533203125,0.260419672717875,1.3020983635893748
280.0,320.0,279.929931640625,320.2076110839844,0.1745860489862998,0.8729302449314991
72.0,328.0,70.91316986083984,330.82696533203125,2.8794635781920026,14.397317890960013
96.0,328.0,95.80477142333984,327.43682861328125,0.6660710851474066,3.330355425737033
112.0,328.0,112.2356185913086,328.11505126953125,0.3938824426432301,1.9694122132161505
120.0,328.0,120.44871520996094,328.07281494140625,0.6087187308010906,3.043593654005453
152.0,328.0,152.00424194335938,327.9486999511719,0.22486302741510117,1.1243151370755058
200.0,328.0,200.41831970214844,328.6239013671875,0.7957702971726338,3.978851485863169
264.0,328.0,263.7551574707031,328.3001403808594,0.2219340761757988,1.109670380878994
272.0,328.0,273.190185546875,328.93695068359375,1.6187699196387708,8.093849598193854
280.0,328.0,279.9424743652344,327.9044494628906,0.22273348198685353,1.1136674099342676
96.0,336.0,95.38914489746094,337.01434326171875,1.0202856939664275,5.101428469832138
160.0,336.0,159.155029296875,337.27081298828125,1.3571894646832834,6.785947323416417
168.0,336.0,166.92269897460938,338.5252380371094,2.594336238244366,12.971681191221831
176.0,336.0,175.4214630126953,336.37554931640625,0.4987980722025786,2.493990361012893
184.0,336.0,185.122802734375,336.2574768066406,1.2995734268374977,6.497867134187488
192.0,336.0,192.34764099121094,336.21002197265625,0.5284233297211597,2.6421166486057985
248.0,336.0,248.360595703125,333.9185485839844,2.2370437105549095,11.185218552774547
264.0,336.0,263.07586669921875,337.0484619140625,1.2141604049104548,6.0708020245522745
96.0,344.0,96.11516571044922,345.5415954589844,1.4597082420885124,7.298541210442561
104.0,344.0,103.08472442626953,343.98193359375,0.7769759294163178,3.884879647081589
160.0,344.0,159.57139587402344,344.45257568359375,0.44460325044802995,2.22301625224015
168.0,344.0,168.7650604248047,345.5280456542969,1.7020861460784042,8.510430730392022
184.0,344.0,183.41116333007812,345.8415222167969,1.7953668502172173,8.976834251086087
192.0,344.0,193.44064331054688,343.3580017089844,1.76641254796844,8.8320627398422
200.0,344.0,200.83346557617188,343.48614501953125,1.170257758905061,5.8512887945253045
208.0,344.0,208.59622192382812,343.89190673828125,0.7895923860373345,3.9479619301866724
