Longitude,Latitude,Pixel,Scan,Longitude180,TMC_X,TMC_Y,Inside_TMC_BBox,Coarse_Valid_Overlap
197.767678,-89.8681106,7400,18200,-162.232322,-1220.4281674062393,-3808.568971657698,True,False
197.400087,-89.8675452,7500,18200,-162.59991300000002,-1201.0957170186193,-3832.680699439985,True,False
197.035667,-89.8669744,7600,18200,-162.964333,-1181.7653227343424,-3856.791623813332,True,False
196.674406,-89.8663984,7700,18200,-163.32559400000002,-1162.435817893945,-3880.897999941572,True,False
196.316293,-89.8658171,7800,18200,-163.68370700000003,-1143.1088033285644,-3905.0047320861468,True,False
195.961313,-89.8652307,7900,18200,-164.03868699999998,-1123.7830307187269,-3929.1080626395087,True,False
195.609453,-89.8646391,8000,18200,-164.39054699999997,-1104.459974315766,-3953.212895474256,True,False
195.260699,-89.8640426,8100,18200,-164.739301,-1085.1377708963023,-3977.312455325342,True,False
194.915034,-89.8634411,8200,18200,-165.084966,-1065.8176768187445,-4001.411668234132,True,False
194.572443,-89.8628347,8300,18200,-165.42755699999998,-1046.499481166614,-4025.509553433063,True,False
194.23291,-89.8622236,8400,18200,-165.76709,-1027.182219180097,-4049.602173821308,True,False
193.896416,-89.8616076,8500,18200,-166.103584,-1007.8677547356141,-4073.6973674061337,True,False
193.562945,-89.860987,8600,18200,-166.437055,-988.5544578839913,-4097.78819549397,True,False
193.232477,-89.8603618,8700,18200,-166.76752299999998,-969.2426887365665,-4121.876576891725,True,False
192.904996,-89.859732,8800,18200,-167.09500400000002,-949.9330793989867,-4145.964344275126,True,False
192.58048,-89.8590977,8900,18200,-167.41952000000003,-930.625154377433,-4170.050453920668,True,False
192.258912,-89.858459,9000,18200,-167.741088,-911.3188504156519,-4194.133745645477,True,False
191.94027,-89.8578159,9100,18200,-168.05973,-892.0144170960563,-4218.21607500148,True,False
191.624535,-89.8571685,9200,18200,-168.37546499999996,-872.7116937937514,-4242.296261085891,True,False
191.311687,-89.8565169,9300,18200,-168.688313,-853.4104942759334,-4266.373108195921,True,False
191.001703,-89.855861,9400,18200,-168.99829699999998,-834.111611114219,-4290.451387710389,True,False
190.694563,-89.8552011,9500,18200,-169.30543699999998,-814.8137241174802,-4314.5239014634535,True,False
190.390245,-89.854537,9600,18200,-169.609755,-795.5182681895128,-4338.5983397028585,True,False
190.088728,-89.853869,9700,18200,-169.911272,-776.2239493942291,-4362.667456796549,True,False
189.78999,-89.8531969,9800,18200,-170.21001,-756.932142151037,-4386.738910731388,True,False
189.494008,-89.852521,9900,18200,-170.505992,-737.6414956371688,-4410.805422126068,True,False
189.20076,-89.8518413,10000,18200,-170.79924,-718.3523509186749,-4434.868628936342,True,False
188.910223,-89.8511577,10100,18200,-171.08977700000003,-699.0654165627835,-4458.933160348899,True,False
188.622376,-89.8504704,10200,18200,-171.37762399999997,-679.7801076765916,-4482.994618750127,True,False
188.337195,-89.8497794,10300,18200,-171.662805,-660.4965805508623,-4507.054607771329,True,False
