source_x_original_kaguya_px,source_y_original_kaguya_px,source_x_coarse_registered_px,source_y_coarse_registered_px,reference_x_tmc_px,reference_y_tmc_px,ransac_residual_px
1804.5869944189658,574.9784569248208,2230.91650390625,572.9944458007812,2230.45654296875,572.863037109375,0.27626195933947356
2290.6467810308263,576.0699785054384,2717.88427734375,573.9451293945312,2717.631591796875,573.9923095703125,0.04398910840331075
2290.6467810308263,576.0699785054384,2717.88427734375,573.9451293945312,2717.631591796875,573.9923095703125,0.04398910840331075
2285.092340392427,604.3268895151559,2712.296875,602.2699584960938,2712.062744140625,602.2130737304688,0.13662785380321393
2233.9931158623726,644.7280964195123,2661.06982421875,642.781005859375,2660.882080078125,643.063720703125,0.22895770205903382
2890.975583611247,637.0747599671453,3319.286865234375,634.9158935546875,3318.859130859375,635.02099609375,0.12056430347481527
2941.2616623056583,648.0495098243786,3369.658203125,645.9015502929688,3369.2568359375,646.1217651367188,0.15658906582931745
2769.0334902664877,627.9815611456261,3197.1240234375,625.8373413085938,3196.970947265625,626.0663452148438,0.2045144286009205
2600.059651403786,634.7046977053427,3027.828857421875,632.6260986328125,3027.70458984375,632.8875732421875,0.24418864115485772
3328.0766783500835,674.5998264064726,3757.17529296875,672.4000244140625,3757.105224609375,672.927001953125,0.49054306508955403
3323.8231888359787,663.6386862812586,3752.922607421875,661.4144287109375,3752.46630859375,662.0724487304688,0.5644212268597274
3323.8231888359787,663.6386862812586,3752.922607421875,661.4144287109375,3752.46630859375,662.0724487304688,0.5644212268597274
3184.4378106088184,635.5105877148491,3613.299072265625,633.261474609375,3613.33251953125,634.3982543945312,1.09254812369377
176.039866034476,905.1784997993271,599.0604248046875,904.449462890625,598.8350219726562,903.7833862304688,0.6510310284806055
165.89843589142896,912.3687254702728,588.894287109375,911.6595458984375,587.8248901367188,911.3707885742188,1.0404754521735469
142.4491606869356,887.0585650705558,565.42138671875,886.2969360351562,565.6167602539062,887.4959716796875,1.2618792736941205
154.73346806033265,774.714862754108,577.8184204101562,773.6860961914062,579.1442260742188,773.1153564453125,1.5239705602901439
755.7193540630064,786.1230979981244,1179.9189453125,784.9437866210938,1179.698486328125,784.9834594726562,0.0981927311130339
770.2242193609773,762.4467674318363,1194.4698486328125,761.2076416015625,1194.3426513671875,761.3104248046875,0.104093875123359
649.3128449179846,947.1572214172082,1073.184814453125,946.3870239257812,1073.130126953125,946.5162963867188,0.15197088245321255
649.3128449179846,947.1572214172082,1073.184814453125,946.3870239257812,1073.130126953125,946.5162963867188,0.15197088245321255
1109.421655378229,903.3426344811517,1534.18896484375,902.3339233398438,1533.8321533203125,902.3736572265625,0.238195742185347
1150.8242106389773,899.5120884630776,1575.6719970703125,898.482177734375,1575.536376953125,898.1541748046875,0.33142074034388264
850.3113264578442,751.4979684714187,1274.7154541015625,750.2095336914062,1274.9102783203125,750.0491333007812,0.37965192960695787
987.0122621481469,973.6572770444513,1411.4945068359375,972.849609375,1411.5008544921875,973.2233276367188,0.39605646308680953
1798.6328513285157,1009.5807103627548,2224.60400390625,1008.6178588867188,2224.314453125,1008.613037109375,0.15596585614737848
1627.55898232564,910.3269532538479,2053.28955078125,909.1817626953125,2052.969970703125,909.1160888671875,0.18844102462408358
1739.8413953655308,946.6065246257668,2165.7529296875,945.5133056640625,2165.681396484375,945.7694702148438,0.24609549088815272
1711.873666829033,701.5269529786506,2137.9287109375,699.8671264648438,2137.50830078125,699.7706298828125,0.24697075921297026
2422.380195282385,678.7439262571736,2849.781982421875,676.821044921875,2849.4228515625,676.91845703125,0.09598034509484818
2516.8559213276744,830.6636856539517,2944.31298828125,829.0692749023438,2943.996337890625,829.034912109375,0.12998844731728051
2516.8559213276744,830.6636856539517,2944.31298828125,829.0692749023438,2943.996337890625,829.034912109375,0.12998844731728051
2209.675507185241,850.6356505127352,2636.542236328125,849.1787109375,2636.327880859375,848.9891357421875,0.23886261691020447
3120.72169188317,711.5330153181541,3549.403076171875,709.4810180664062,3549.1201171875,709.8052978515625,0.22850403863274957
3120.72169188317,711.5330153181541,3549.403076171875,709.4810180664062,3549.1201171875,709.8052978515625,0.22850403863274957
2599.720669541197,999.2397420521711,3027.197998046875,998.0162963867188,3027.239990234375,997.9918823242188,0.24322847247039153
2614.9603114831193,681.8329856486763,3042.7197265625,679.8605346679688,3042.68798828125,680.232177734375,0.38246163501379427
3691.405620299079,1002.1947742260772,4120.921875,1000.6561889648438,4120.74755859375,1000.9358520507812,0.20188429279728842
3533.0296600825827,722.6149894262954,3962.47314453125,720.4673461914062,3962.345458984375,720.6320190429688,0.20359477773642395
3533.0296600825827,722.6149894262954,3962.47314453125,720.4673461914062,3962.345458984375,720.6320190429688,0.20359477773642395
3237.310493877978,717.2398775974099,3666.205322265625,715.1668701171875,3666.03076171875,715.427734375,0.20799709023461593
4142.100026266274,818.8821067669932,4572.60546875,816.7805786132812,4572.3984375,817.0089111328125,0.16322249974985803
3793.9746246410373,891.0277798135976,4223.771484375,889.1981811523438,4223.17236328125,889.2783813476562,0.306483244947325
3793.9746246410373,891.0277798135976,4223.771484375,889.1981811523438,4223.17236328125,889.2783813476562,0.306483244947325
3958.8392626825676,773.1478395478239,4389.03857421875,770.9931030273438,4389.17919921875,771.1126708984375,0.4777123096789516
154.14861186954766,1244.9848548956516,576.8567504882812,1245.059326171875,575.4611206054688,1246.0780029296875,1.792977332388581
746.564482416876,1095.9887300928617,1170.4993896484375,1095.5389404296875,1170.4425048828125,1095.58544921875,0.07617822586832472
