source_x,source_y,reference_x,reference_y,source_map_x_m,source_map_y_m,reference_map_x_m,reference_map_y_m,final_residual_px,final_residual_nominal_m
229.375,198.625,228.58984375,197.87474060058594,569373.3984375,-102175.974609375,569369.47265625,-102172.22331237793,1.5754160255861207,7.877080127930603
239.125,198.625,238.30078125,198.7583770751953,569422.1484375,-102175.974609375,569418.02734375,-102176.64149475098,1.6066856579702868,8.033428289851434
293.875,198.625,294.80078125,198.7583770751953,569695.8984375,-102175.974609375,569700.52734375,-102176.64149475098,0.504691350878703,2.523456754393515
303.625,200.875,303.62890625,201.40927124023438,569744.6484375,-102187.224609375,569744.66796875,-102189.89596557617,1.0551597552741574,5.275798776370787
281.875,204.625,282.44140625,204.06015014648438,569635.8984375,-102205.974609375,569638.73046875,-102203.15036010742,0.28846025713118967,1.4423012856559483
303.625,206.125,303.62890625,205.82740783691406,569744.6484375,-102213.474609375,569744.66796875,-102211.98664855957,0.6691269634450199,3.3456348172250996
261.625,209.125,263.01953125,209.36192321777344,569534.6484375,-102228.474609375,569541.62109375,-102229.65922546387,0.8662510865227704,4.331255432613852
203.875,209.875,204.75390625,210.2455596923828,569245.8984375,-102232.224609375,569250.29296875,-102234.07740783691,0.7110090865628944,3.555045432814472
290.875,215.125,291.26953125,215.54733276367188,569680.8984375,-102258.474609375,569682.87109375,-102260.58627319336,0.8004219735811627,4.002109867905814
68.875,215.875,69.68359375,212.8964385986328,568570.8984375,-102262.224609375,568574.94140625,-102247.33180236816,2.5983400959334464,12.991700479667232
245.125,215.875,245.36328125,215.54733276367188,569452.1484375,-102262.224609375,569453.33984375,-102260.58627319336,0.527651311876841,2.638256559384205
221.875,217.375,221.52734375,217.31459045410156,569335.8984375,-102269.724609375,569334.16015625,-102269.42256164551,1.1758687401439953,5.879343700719977
311.125,221.125,310.69140625,220.84910583496094,569782.1484375,-102288.474609375,569779.98046875,-102287.0951385498,1.1454813828067103,5.727406914033551
301.375,222.625,300.98046875,221.7327423095703,569733.3984375,-102295.974609375,569731.42578125,-102291.51332092285,1.2611301781765534,6.305650890882767
221.875,224.875,224.17578125,225.2672576904297,569335.8984375,-102307.224609375,569347.40234375,-102309.18589782715,1.6541682296580948,8.270841148290474
281.125,225.625,280.67578125,226.15087890625,569632.1484375,-102310.974609375,569629.90234375,-102313.60400390625,1.4757971312838802,7.378985656419401
298.375,234.625,299.21484375,233.21990966796875,569718.3984375,-102355.974609375,569722.59765625,-102348.94915771484,1.0815141832617878,5.40757091630894
108.625,235.375,111.17578125,236.75442504882812,568769.6484375,-102359.724609375,568782.40234375,-102366.62173461914,2.3698579709242447,11.849289854621222
269.125,235.375,269.19921875,234.98716735839844,569572.1484375,-102359.724609375,569572.51953125,-102357.78544616699,0.7281121076707424,3.640560538353712
61.375,242.875,62.62109375,241.17257690429688,568533.3984375,-102397.224609375,568539.62890625,-102388.71249389648,1.3072025560925398,6.536012780462698
270.625,243.625,270.08203125,243.82347106933594,569579.6484375,-102400.974609375,569576.93359375,-102401.96696472168,1.4706855740741436,7.353427870370718
275.125,244.375,276.26171875,242.93983459472656,569602.1484375,-102404.724609375,569607.83203125,-102397.54878234863,1.1374024748309475,5.687012374154738
59.875,248.125,59.97265625,247.3579864501953,568525.8984375,-102423.474609375,568526.38671875,-102419.63954162598,1.028587448612904,5.14293724306452
157.375,254.875,159.73046875,255.31063842773438,569013.3984375,-102457.224609375,569025.17578125,-102459.40280151367,1.6035705154200568,8.017852577100284
261.625,256.375,261.25390625,256.19427490234375,569534.6484375,-102464.724609375,569532.79296875,-102463.82098388672,1.257031300268439,6.285156501342195
303.625,256.375,303.62890625,256.19427490234375,569744.6484375,-102464.724609375,569744.66796875,-102463.82098388672,0.8404471227797685,4.202235613898843
106.375,258.625,106.76171875,256.19427490234375,568758.3984375,-102475.974609375,568760.33203125,-102463.82098388672,2.1261089070954062,10.630544535477032
240.625,258.625,240.94921875,259.7287902832031,569429.6484375,-102475.974609375,569431.26953125,-102481.49356079102,1.5796155729982473,7.898077864991237
117.625,262.375,118.23828125,263.2633056640625,568814.6484375,-102494.724609375,568817.71484375,-102499.16613769531,1.3680762098992318,6.840381049496159
130.375,262.375,130.59765625,262.3796691894531,568878.3984375,-102494.724609375,568879.51171875,-102494.74795532227,0.9079528105662641,4.539764052831321
245.125,266.875,245.36328125,266.7978210449219,569452.1484375,-102517.224609375,569453.33984375,-102516.83871459961,0.7460144628117846,3.730072314058923
155.875,267.625,157.08203125,267.68145751953125,569005.8984375,-102520.974609375,569011.93359375,-102521.25689697266,0.49404900816547526,2.4702450408273764
85.375,270.625,86.45703125,271.2159729003906,568653.3984375,-102535.974609375,568658.80859375,-102538.92947387695,1.018403932890806,5.09201966445403
91.375,272.875,91.75390625,272.099609375,568683.3984375,-102547.224609375,568685.29296875,-102543.34765625,0.8072044772148687,4.036022386074343
117.625,275.125,118.23828125,273.8668518066406,568814.6484375,-102558.474609375,568817.71484375,-102552.1838684082,0.9617271648396565,4.808635824198283
69.625,276.625,70.56640625,276.5177307128906,568574.6484375,-102565.974609375,568579.35546875,-102565.43826293945,0.38645070613916277,1.9322535306958137
140.875,278.875,141.19140625,278.2850036621094,568930.8984375,-102577.224609375,568932.48046875,-102574.27462768555,0.7758823250463263,3.879411625231631
56.875,286.375,57.32421875,286.2376708984375,568510.8984375,-102614.724609375,568513.14453125,-102614.03796386719,0.8003881509918819,4.001940754959409
116.875,286.375,118.23828125,283.5867614746094,568810.8984375,-102614.724609375,568817.71484375,-102600.78341674805,2.3698772153783163,11.849386076891582
179.875,287.125,180.91796875,286.2376708984375,569125.8984375,-102618.474609375,569131.11328125,-102614.03796386719,0.47666431648416346,2.3833215824208174
213.625,287.125,214.46484375,288.0049133300781,569294.6484375,-102618.474609375,569298.84765625,-102622.87417602539,1.2923943854111353,6.461971927055677
230.875,287.875,232.12109375,288.8885498046875,569380.8984375,-102622.224609375,569387.12890625,-102627.29235839844,1.4291106085155583,7.145553042577792
263.125,287.875,263.01953125,288.0049133300781,569542.1484375,-102622.224609375,569541.62109375,-102622.87417602539,1.1914885941526925,5.957442970763463
275.875,289.375,275.37890625,288.0049133300781,569605.8984375,-102629.724609375,569603.41796875,-102622.87417602539,1.7601780121146897,8.80089006057345
243.625,293.125,243.59765625,290.65582275390625,569444.6484375,-102648.474609375,569444.51171875,-102636.12872314453,2.31721963669238,11.5860981834619
158.875,294.625,158.84765625,292.4230651855469,569020.8984375,-102655.974609375,569020.76171875,-102644.96493530273,2.1060471548435906,10.530235774217953
131.875,297.625,133.24609375,296.8412170410156,568885.8984375,-102670.974609375,568892.75390625,-102667.05569458008,0.41765156844388746,2.0882578422194373
116.125,302.875,118.23828125,301.2593688964844,568807.1484375,-102697.224609375,568817.71484375,-102689.14645385742,1.5008919994619876,7.504459997309938
231.625,302.875,232.12109375,303.026611328125,569384.6484375,-102697.224609375,569387.12890625,-102697.98266601562,0.7869129069135308,3.934564534567654
151.375,303.625,154.43359375,302.1429748535156,568983.3984375,-102700.974609375,568998.69140625,-102693.56448364258,2.1877194902895107,10.938597451447553
68.125,306.625,68.80078125,306.5611267089844,568567.1484375,-102715.974609375,568570.52734375,-102715.65524291992,0.6890539890100805,3.4452699450504025
156.625,308.125,157.08203125,306.5611267089844,569009.6484375,-102723.474609375,569011.93359375,-102715.65524291992,1.3209750691341953,6.604875345670976
133.375,310.375,134.12890625,310.09564208984375,568893.3984375,-102734.724609375,568897.16796875,-102733.32781982422,0.45588809648945916,2.2794404824472956
80.125,312.625,81.16015625,311.8629150390625,568627.1484375,-102745.974609375,568632.32421875,-102742.16418457031,0.361428631367112,1.80714315683556
194.125,312.625,194.16015625,310.9792785644531,569197.1484375,-102745.974609375,569197.32421875,-102737.74600219727,1.6303016636490968,8.151508318245483
196.375,320.875,196.80859375,320.6991882324219,569208.3984375,-102787.224609375,569210.56640625,-102786.34555053711,0.7552981265881972,3.7764906329409857
144.625,322.375,145.60546875,322.4664611816406,568949.6484375,-102794.724609375,568954.55078125,-102795.1819152832,0.5885479942658954,2.9427399713294773
36.625,326.125,37.90234375,324.23370361328125,568409.6484375,-102813.474609375,568416.03515625,-102804.0181274414,1.4004607172345034,7.002303586172517
108.625,329.125,109.41015625,328.65185546875,568769.6484375,-102828.474609375,568773.57421875,-102826.10888671875,0.47745106446403834,2.3872553223201916
219.625,329.875,222.41015625,329.5354919433594,569324.6484375,-102832.224609375,569338.57421875,-102830.5270690918,1.6420982881597093,8.210491440798545
179.125,332.125,180.03515625,332.1863708496094,569122.1484375,-102843.474609375,569126.69921875,-102843.78146362305,0.5865630763822006,2.932815381911003
276.625,332.125,277.14453125,332.1863708496094,569609.6484375,-102843.474609375,569612.24609375,-102843.78146362305,0.7470134556186999,3.7350672780934997
267.625,343.375,268.31640625,343.6735534667969,569564.6484375,-102899.724609375,569568.10546875,-102901.21737670898,0.8550476561155742,4.275238280577871
30.625,347.125,31.72265625,344.55718994140625,568379.6484375,-102918.474609375,568385.13671875,-102905.63555908203,2.0779328629441873,10.389664314720937
75.625,349.375,77.62890625,348.975341796875,568604.6484375,-102929.724609375,568614.66796875,-102927.72631835938,0.6509943834913979,3.2549719174569898
277.375,353.875,278.02734375,351.626220703125,569613.3984375,-102952.224609375,569616.66015625,-102940.98071289062,1.880294601007886,9.40147300503943
155.875,355.375,157.08203125,354.277099609375,569005.8984375,-102959.724609375,569011.93359375,-102954.23510742188,0.6251420956903777,3.1257104784518885
75.625,362.125,78.51171875,363.1134033203125,568604.6484375,-102993.474609375,568619.08203125,-102998.41662597656,2.11134509223712,10.5567254611856
26.125,362.875,27.30859375,360.4625244140625,568357.1484375,-102997.224609375,568363.06640625,-102985.16223144531,1.904384741869445,9.521923709347226
187.375,366.625,188.86328125,366.6479187011719,569163.3984375,-103015.974609375,569170.83984375,-103016.08920288086,0.5375526626858825,2.6877633134294125
168.625,368.125,169.44140625,367.53155517578125,569069.6484375,-103023.474609375,569073.73046875,-103020.5073852539,0.5138691839224212,2.569345919612106
224.125,371.125,225.05859375,371.0660705566406,569347.1484375,-103038.474609375,569351.81640625,-103038.1799621582,0.5305546278036818,2.652773139018409
227.125,380.125,228.58984375,379.90234375,569362.1484375,-103083.474609375,569369.47265625,-103082.361328125,0.30704104258938736,1.535205212946937
188.875,391.375,191.51171875,390.50592041015625,569170.8984375,-103139.724609375,569184.08203125,-103135.37921142578,1.320401415137351,6.602007075686755
177.625,404.875,179.15234375,403.7603454589844,569114.6484375,-103207.224609375,569122.28515625,-103201.65133666992,0.6085185771090272,3.0425928855451363
155.875,415.375,159.73046875,413.4802551269531,569005.8984375,-103259.724609375,569025.17578125,-103250.25088500977,2.7399945322388346,13.699972661194174
185.875,428.875,187.09765625,426.7347106933594,569155.8984375,-103327.224609375,569162.01171875,-103316.5231628418,1.6284999979008012,8.142499989504007
240.625,436.375,241.83203125,434.6873779296875,569429.6484375,-103364.724609375,569435.68359375,-103356.28649902344,1.1908947682452276,5.954473841226138
215.875,444.625,217.99609375,443.5236511230469,569305.8984375,-103405.974609375,569316.50390625,-103400.46786499023,0.8352003026872175,4.176001513436088
240.625,446.875,241.83203125,446.1745300292969,569429.6484375,-103417.224609375,569435.68359375,-103413.72225952148,0.325426196915545,1.6271309845777249
731.875,515.875,735.32421875,515.9812622070312,571885.8984375,-103762.224609375,571903.14453125,-103762.75592041016,2.34029485695227,11.70147428476135
727.375,521.875,728.26171875,522.1666259765625,571863.3984375,-103792.224609375,571867.83203125,-103793.68273925781,0.792967707948531,3.964838539742655
511.375,530.125,515.50390625,530.1193237304688,570783.3984375,-103833.474609375,570804.04296875,-103833.44622802734,2.7249467646609387,13.624733823304693
481.375,532.375,486.37109375,531.8865966796875,570633.3984375,-103844.724609375,570658.37890625,-103842.28259277344,3.5049021144094263,17.52451057204713
