source_x,source_y,reference_x,reference_y,source_map_x_m,source_map_y_m,reference_map_x_m,reference_map_y_m,final_residual_px,final_residual_nominal_m
3679.875,1198.125,3680.0,1198.0,586625.8984375,-107173.474609375,586626.5234375,-107172.849609375,0.05368076764324118,0.2684038382162059
3620.125,1221.375,3620.24609375,1221.350341796875,586327.1484375,-107289.724609375,586327.75390625,-107289.60131835938,0.16029960659777978,0.8014980329888989
3479.125,1148.375,3479.15234375,1148.17822265625,585622.1484375,-106924.724609375,585622.28515625,-106923.74072265625,0.1855322884453182,0.927661442226591
3694.125,1182.125,3694.0,1182.0,586697.1484375,-107093.474609375,586696.5234375,-107092.849609375,0.19398863582487702,0.9699431791243851
3682.125,1182.125,3682.0,1182.0,586637.1484375,-107093.474609375,586636.5234375,-107092.849609375,0.2046546953793186,1.023273476896593
4260.375,1257.875,4260.0,1258.0,589528.3984375,-107472.224609375,589526.5234375,-107472.849609375,0.08271835507067646,0.4135917753533823
3998.625,1362.125,3999.0,1362.0,588219.6484375,-107993.474609375,588221.5234375,-107992.849609375,0.09075962033033035,0.45379810165165174
4396.375,1242.375,4395.95703125,1242.582763671875,590208.3984375,-107394.724609375,590206.30859375,-107395.76342773438,0.1264345131906963,0.6321725659534815
4176.375,1164.875,4176.0,1165.0,589108.3984375,-107007.224609375,589106.5234375,-107007.849609375,0.14063763739191523,0.7031881869595762
4201.125,1290.125,4201.0,1290.0,589232.1484375,-107633.474609375,589231.5234375,-107632.849609375,0.14544597374054313,0.7272298687027157
4634.375,1357.875,4634.0,1358.0,591398.3984375,-107972.224609375,591396.5234375,-107972.849609375,0.04349169309931533,0.21745846549657666
4625.875,1345.875,4625.48828125,1345.9674072265625,591355.8984375,-107912.224609375,591353.96484375,-107912.68664550781,0.053109541153314496,0.2655477057665725
4425.125,1209.375,4424.55078125,1209.4527587890625,590352.1484375,-107229.724609375,590349.27734375,-107230.11340332031,0.10939665642869165,0.5469832821434583
4683.625,1281.875,4683.07861328125,1282.015625,591644.6484375,-107592.224609375,591641.9165039062,-107592.927734375,0.1568710237381999,0.7843551186909994
4688.375,1333.875,4688.0,1334.0,591668.3984375,-107852.224609375,591666.5234375,-107852.849609375,0.16748132861123843,0.8374066430561922
3589.875,1421.375,3590.0,1421.0,586175.8984375,-108289.724609375,586176.5234375,-108287.849609375,0.7857007910199414,3.928503955099707
3745.875,1458.875,3746.0,1459.0,586955.8984375,-108477.224609375,586956.5234375,-108477.849609375,0.8349946415022024,4.1749732075110115
3757.875,1478.625,3758.0,1478.0,587015.8984375,-108575.974609375,587016.5234375,-108572.849609375,0.8465774330548593,4.232887165274296
3589.875,1420.875,3590.0,1421.0,586175.8984375,-108287.224609375,586176.5234375,-108287.849609375,0.8870367893901598,4.435183946950799
3744.375,1469.375,3745.0,1468.0,586948.3984375,-108529.724609375,586951.5234375,-108522.849609375,1.117604674664591,5.5880233733229545
4154.625,1446.125,4155.0,1446.0,588999.6484375,-108413.474609375,589001.5234375,-108412.849609375,0.01035557938751448,0.051777896937572405
3980.625,1375.125,3981.0,1375.0,588129.6484375,-108058.474609375,588131.5234375,-108057.849609375,0.030601669699965434,0.15300834849982717
4326.375,1581.125,4327.0,1581.0,589858.3984375,-109088.474609375,589861.5234375,-109087.849609375,0.07413189474275989,0.3706594737137994
4365.875,1426.125,4366.0,1426.0,590055.8984375,-108313.474609375,590056.5234375,-108312.849609375,0.08439497522813622,0.4219748761406811
3960.375,1485.125,3961.0,1485.0,588028.3984375,-108608.474609375,588031.5234375,-108607.849609375,0.13507941087671735,0.6753970543835868
4764.875,1581.125,4765.0,1581.0,592050.8984375,-109088.474609375,592051.5234375,-109087.849609375,0.07184568046254539,0.3592284023127269
4764.625,1581.125,4764.68359375,1581.078125,592049.6484375,-109088.474609375,592049.94140625,-109088.240234375,0.08272332066333159,0.41361660331665795
4826.375,1408.875,4826.0,1409.0,592358.3984375,-108227.224609375,592356.5234375,-108227.849609375,0.08346640050509374,0.4173320025254687
4989.625,1485.375,4989.20703125,1485.580810546875,593174.6484375,-108609.724609375,593172.55859375,-108610.75366210938,0.10540854234754282,0.5270427117377141
4906.375,1521.125,4906.1318359375,1521.265625,592758.3984375,-108788.474609375,592757.1826171875,-108789.177734375,0.10720422727163635,0.5360211363581817
4361.375,1655.375,4362.0,1655.0,590033.3984375,-109459.724609375,590036.5234375,-109457.849609375,0.2165970343538172,1.082985171769086
4311.625,1641.875,4312.22998046875,1641.796875,589784.6484375,-109392.224609375,589787.6733398438,-109391.833984375,0.27501289274230317,1.375064463711516
