source_x,source_y,reference_x,reference_y,confidence,ground_truth_error_px
150.5,368.5,158.5,320.5,0.9952861,0.11221149
580.5,368.5,586.5,358.5,0.9990598,0.7439461
1140.5,368.5,1144.5,406.5,0.9988828,0.3163533
1538.5,368.5,1540.5,442.5,0.99688405,1.3603119
1000.5,370.5,1004.5,396.5,0.9960917,0.6222293
646.5,372.5,652.5,366.5,0.9992458,1.1249251
1082.5,372.5,1086.5,404.5,0.99953306,1.1140461
66.5,374.5,74.5,318.5,0.98948604,0.5747148
196.5,376.5,204.5,332.5,0.99853295,0.85204095
1372.5,376.5,1374.5,436.5,0.9990782,1.7711191
1886.5,376.5,1886.5,478.5,0.99743134,1.3722134
1180.5,380.5,1184.5,422.5,0.99753875,1.0106957
1580.5,380.5,1580.5,456.5,0.9975159,1.6153682
234.5,382.5,240.5,342.5,0.9971927,0.972854
144.5,384.5,152.5,334.5,0.994153,1.8737192
1418.5,384.5,1420.5,446.5,0.9990629,0.39316872
1846.5,384.5,1846.5,484.5,0.9986867,0.39693776
474.5,386.5,480.5,366.5,0.99607605,0.7740845
1352.5,386.5,1354.5,442.5,0.9993752,0.59536034
824.5,390.5,828.5,400.5,0.9995613,0.7128289
960.5,390.5,962.5,412.5,0.9993789,1.1069423
1154.5,390.5,1156.5,430.5,0.9985355,0.74697685
122.5,394.5,128.5,344.5,0.9965567,0.6602042
570.5,394.5,574.5,382.5,0.9890129,0.43153733
660.5,396.5,664.5,392.5,0.9991967,0.42220452
744.5,396.5,748.5,398.5,0.9739254,1.6942164
1248.5,396.5,1248.5,444.5,0.9990231,1.5035268
778.5,398.5,782.5,404.5,0.9994996,1.100372
1044.5,398.5,1044.5,428.5,0.99930906,2.036522
1696.5,398.5,1696.5,484.5,0.9991162,0.69967407
552.5,402.5,556.5,390.5,0.99824613,1.2869636
610.5,402.5,614.5,394.5,0.9987749,0.698972
1506.5,402.5,1506.5,472.5,0.9990519,0.107807614
1486.5,404.5,1486.5,472.5,0.9992377,0.27314025
1882.5,404.5,1880.5,506.5,0.9980671,0.77022123
284.5,406.5,286.5,370.5,0.9968308,2.2816186
746.5,406.5,748.5,408.5,0.9151871,1.7510179
1532.5,408.5,1530.5,478.5,0.99901634,2.5382564
386.5,412.5,388.5,384.5,0.99938416,1.3299426
572.5,416.5,574.5,402.5,0.9193174,2.5006087
1990.5,418.5,1986.5,530.5,0.9935795,0.67398924
1716.5,420.5,1714.5,508.5,0.997042,0.49491447
1014.5,422.5,1014.5,450.5,0.9987526,1.0116558
1144.5,422.5,1144.5,460.5,0.9996492,0.55889136
216.5,424.5,220.5,382.5,0.99687546,1.2399598
596.5,424.5,596.5,414.5,0.9951792,1.5530224
832.5,424.5,832.5,436.5,0.9997219,1.0408002
984.5,424.5,984.5,448.5,0.94223493,0.3674949
994.5,424.5,994.5,448.5,0.98490685,1.2398148
1978.5,424.5,1972.5,534.5,0.9857605,2.4104486
482.5,426.5,484.5,406.5,0.9992681,0.6718988
1038.5,426.5,1038.5,454.5,0.9995142,1.1395588
134.5,428.5,138.5,378.5,0.9962421,1.1697121
1338.5,430.5,1336.5,486.5,0.99890566,0.8099534
1222.5,434.5,1218.5,480.5,0.9995399,2.3865316
1904.5,434.5,1900.5,538.5,0.9984313,0.6475648
412.5,436.5,412.5,408.5,0.88512087,2.7046688
646.5,436.5,646.5,432.5,0.9991114,1.1579633
1540.5,436.5,1536.5,508.5,0.9988309,1.1272813
60.5,438.5,62.5,382.5,0.9972259,0.3486361
402.5,438.5,402.5,410.5,0.9705142,1.8616499
884.5,438.5,882.5,454.5,0.99945366,1.2052343
