source_x,source_y,reference_x,reference_y,dx_px,dy_px,displacement_px
989.625,299.875,1684.5,280.5,694.875,-19.375,695.1450613001577
922.125,304.375,1614.5,294.5,692.375,-9.875,692.4454175240096
1024.875,304.375,1726.5,292.5,701.625,-11.875,701.7254849654529
969.375,309.625,1664.5,296.5,695.125,-13.125,695.2488987765461
1000.125,319.375,1684.5,296.5,684.375,-22.875,684.757187804553
1057.875,323.125,1742.5,302.5,684.625,-20.625,684.9356037249049
1077.375,327.625,1772.5,322.5,695.125,-5.125,695.1438924783846
1001.625,329.875,1688.5,310.5,686.875,-19.375,687.148205447704
1045.125,333.625,1728.5,308.5,683.375,-25.125,683.8367175356994
1150.125,334.375,1844.5,324.5,694.375,-9.875,694.4452147217951
1259.625,334.375,2010.5,348.5,750.875,14.125,751.007843667428
1007.625,340.375,1694.5,320.5,686.875,-19.875,687.1624853337091
790.125,342.625,1290.5,310.5,500.375,-32.125,501.4051817143497
800.625,344.125,1312.5,312.5,511.875,-31.625,512.8510078473084
1017.375,347.875,1716.5,332.5,699.125,-15.375,699.2940413374048
1105.875,371.875,1800.5,362.5,694.625,-9.375,694.6882619204099
1088.625,377.875,1760.5,364.5,671.875,-13.375,672.0081147203507
1001.625,378.625,1694.5,368.5,692.875,-10.125,692.9489744923503
1232.625,378.625,1930.5,370.5,697.875,-8.125,697.9222959971977
733.125,394.375,1186.5,346.5,453.375,-47.875,455.89571861336884
1204.125,401.875,1906.5,374.5,702.375,-27.375,702.908266596716
1023.375,403.375,1720.5,392.5,697.125,-10.875,697.2098186701045
871.875,404.125,1566.5,392.5,694.625,-11.625,694.7222691478948
925.875,404.875,1588.5,392.5,662.625,-12.375,662.7405459529392
1120.875,408.625,1812.5,390.5,691.625,-18.125,691.8624547191444
1237.875,408.625,1938.5,390.5,700.625,-18.125,700.8594054801576
1150.125,409.375,1832.5,394.5,682.375,-14.875,682.5371097969692
1203.375,414.625,1898.5,396.5,695.125,-18.125,695.3612595262983
1102.875,420.625,1792.5,410.5,689.625,-10.125,689.699323074918
1167.375,425.875,1856.5,400.5,689.125,-25.375,689.592021596828
1234.125,426.625,1928.5,404.5,694.375,-22.125,694.7273970774436
1122.375,427.375,1816.5,408.5,694.125,-18.875,694.3815818769965
1213.875,428.125,1918.5,402.5,704.625,-25.625,705.0907964581583
741.375,428.875,1116.5,408.5,375.125,-20.375,375.677928883239
1171.875,437.875,1856.5,418.5,684.625,-19.375,684.8991029706492
1171.125,441.625,1872.5,432.5,701.375,-9.125,701.4343563370702
1132.875,444.625,1834.5,436.5,701.625,-8.125,701.6720432295988
1067.625,446.875,1756.5,436.5,688.875,-10.375,688.9531234053592
915.375,453.625,1544.5,436.5,629.125,-17.125,629.3580310522779
1087.125,463.375,1780.5,450.5,693.375,-12.875,693.494525032462
1269.375,485.125,1968.5,472.5,699.125,-12.625,699.2389836457919
1100.625,485.875,1794.5,470.5,693.875,-15.375,694.0453200260052
1105.875,491.125,1798.5,480.5,692.625,-10.625,692.7064899724846
1108.125,501.625,1804.5,494.5,696.375,-7.125,696.4114489653368
873.375,503.125,1404.5,462.5,531.125,-40.625,532.6764085727845
1183.875,507.625,1892.5,502.5,708.625,-5.125,708.6435325676796
1173.375,509.875,1868.5,502.5,695.125,-7.375,695.1641218086561
