source_x,source_y,reference_x,reference_y,confidence,ground_truth_error_px
1735.9238,39.009525,1736.422,286.31693,0.96582913,0.99417806
1755.4286,39.009525,1754.9691,290.69876,0.9977381,0.9543469
1774.9333,39.009525,1771.0872,292.60196,0.99274963,1.2083414
1794.4381,39.009525,1789.7162,296.54526,0.9890401,0.629668
1813.9429,39.009525,1807.3481,298.32452,0.811284,0.6872292
1852.9524,39.009525,1841.771,305.20108,0.7704971,0.35361943
1872.4573,39.009525,1858.7211,308.1189,0.989991,0.8700689
1891.962,39.009525,1877.1996,311.78256,0.99742913,0.4958248
1911.4668,39.009525,1895.1375,314.0487,0.997779,0.716083
1930.9716,39.009525,1912.1217,317.6992,0.9777552,0.27524704
1950.4763,39.009525,1929.0569,320.3947,0.64269847,0.40581268
1969.9811,39.009525,1947.2607,323.69693,0.40743244,0.3725112
1989.4858,39.009525,1964.2817,327.0787,0.52439874,0.37974232
39.009525,58.51429,214.59886,36.526405,0.9961641,0.5277296
58.51429,58.51429,232.04504,39.39624,0.9972628,0.47626057
78.01905,58.51429,249.67657,41.97969,0.99285597,0.53559494
97.52381,58.51429,267.734,45.05122,0.9358726,0.5349422
156.0381,58.51429,319.2457,54.30099,0.8877672,0.7284856
175.54286,58.51429,336.5817,57.034023,0.98542297,1.0561428
195.04762,58.51429,354.07806,60.856388,0.99777085,0.6767692
214.55238,58.51429,371.63547,64.48938,0.9937446,0.77612114
234.05716,58.51429,389.89648,67.705154,0.83945596,0.687481
253.56192,58.51429,406.8194,69.64582,0.5911341,0.58284557
273.06668,58.51429,424.4107,73.21793,0.8864274,0.19200641
292.57144,58.51429,442.0173,76.47044,0.8047141,0.18616623
331.58096,58.51429,476.235,82.771164,0.36172745,0.8203649
351.08572,58.51429,493.97696,85.040565,0.8420057,0.67999643
390.09525,58.51429,528.84485,91.69284,0.9338186,0.5311144
409.6,58.51429,546.42847,94.228874,0.9944669,0.6745766
429.10477,58.51429,564.46045,97.95218,0.9993765,0.19329385
448.60953,58.51429,580.8959,100.531876,0.99511147,0.950833
468.11432,58.51429,599.5075,104.57326,0.86348766,0.63739526
526.6286,58.51429,651.9948,112.900795,0.5226208,0.511338
546.13336,58.51429,668.51373,116.194435,0.9482341,0.57345796
565.6381,58.51429,687.1536,118.36571,0.9991197,1.2023944
585.1429,58.51429,703.7499,122.45067,0.9813502,0.24955404
624.1524,58.51429,739.2646,128.85666,0.9479927,0.4078777
643.65717,58.51429,756.95374,131.77844,0.9795109,0.57266045
663.1619,58.51429,774.6057,135.79721,0.8985551,1.2589304
682.6667,58.51429,792.1062,137.86653,0.7853376,0.79701346
721.6762,58.51429,825.51086,143.37088,0.79729784,0.9780205
741.18097,58.51429,843.2002,145.7857,0.4002334,1.4129162
760.6857,58.51429,861.7165,150.52258,0.95566785,0.6510279
780.1905,58.51429,877.8696,153.77927,0.9989417,0.90883917
799.69525,58.51429,896.387,156.21933,0.9997221,0.3298035
819.2,58.51429,913.54065,158.81686,0.99931943,0.6082291
838.7048,58.51429,930.5519,162.50713,0.90757066,0.45508805
877.7143,58.51429,964.9863,169.92969,0.2272036,1.581012
897.21906,58.51429,982.4534,171.3359,0.7104021,1.0238625
916.7238,58.51429,1000.4533,174.72906,0.95204914,0.4127531
936.22864,58.51429,1018.045,177.76906,0.9963113,0.302658
955.7334,58.51429,1035.5928,180.93393,0.99612904,0.19272119
975.23816,58.51429,1053.1907,184.61928,0.8343501,0.5641013
994.7429,58.51429,1070.2341,186.51321,0.6755063,0.7810828
1014.2477,58.51429,1087.4236,190.16995,0.982164,0.74469066
1033.7524,58.51429,1105.9612,193.8873,0.9222457,0.6792436
1053.2572,58.51429,1122.3141,196.03802,0.6476246,0.8466552
1092.2667,58.51429,1158.6082,202.55034,0.61486536,0.59269345
1131.2762,58.51429,1192.3345,209.28572,0.9106099,0.8495482
1150.781,58.51429,1210.3148,212.05553,0.9988679,0.29953277
1170.2858,58.51429,1228.4377,214.68634,0.99938756,0.59552264
1189.7905,58.51429,1245.5017,218.76244,0.99660456,0.8533169
1209.2953,58.51429,1262.4738,221.07466,0.93325317,0.32263598
1248.3048,58.51429,1296.2028,227.2204,0.41922197,1.5117797
1267.8096,58.51429,1315.0333,230.81523,0.8192173,0.58924156
1287.3143,58.51429,1332.5858,233.13017,0.9633662,0.19927481
1306.8191,58.51429,1350.8727,235.8178,0.9977188,0.9682469
1326.3239,58.51429,1367.4436,238.97704,0.99760795,0.51743287
1345.8286,58.51429,1385.3185,242.1821,0.87931466,0.47851968
1365.3334,58.51429,1403.1892,245.62799,0.75113106,0.7024752
1384.8381,58.51429,1420.0153,248.37103,0.9934255,0.3530494
1404.3429,58.51429,1437.272,251.32028,0.9646805,0.4965284
1423.8477,58.51429,1455.249,254.52138,0.8634992,0.5165287
1501.8667,58.51429,1525.4407,267.77783,0.97990745,0.9268637
1521.3715,58.51429,1542.2417,270.784,0.9994941,0.51592904
1540.8762,58.51429,1559.5702,273.5574,0.999863,0.22078337
1560.381,58.51429,1576.0925,277.4645,0.999089,1.4507856
1579.8857,58.51429,1594.7681,279.60834,0.8622255,0.22079922
1638.4,58.51429,1647.2323,288.85788,0.58978397,0.2964938
1657.9048,58.51429,1663.4917,292.28683,0.85753286,1.0370353
1677.4095,58.51429,1681.2262,295.17566,0.9939882,0.7102509
1696.9143,58.51429,1698.2676,297.72318,0.9977218,1.1077482
1716.4191,58.51429,1716.4966,301.60886,0.9411992,0.62884915
1735.9238,58.51429,1734.5427,304.5468,0.9340035,0.4896273
1755.4286,58.51429,1751.6246,307.15262,0.9982317,0.1260509
