source_x,source_y,reference_x,reference_y,confidence,prior_residual_px
878.0,44.0,878.4114,42.791206,0.5220325,1.4199091739549674
924.0,92.0,924.66174,93.481766,0.7301622,1.4247257653551204
734.0,148.0,734.4237,146.8024,0.21463673,1.4521497079340033
846.0,780.0,847.3564,779.3207,0.35331932,1.4878371771552967
860.0,60.0,858.6461,59.604626,0.9844242,1.4884547988902712
908.0,196.0,907.41064,197.45929,0.3265729,1.5014322249333154
844.0,80.0,845.35596,79.481804,0.9344895,1.5120002468313292
576.0,468.0,576.0512,469.4571,0.20415723,1.5121735999826769
742.0,148.0,743.1175,148.93506,0.45998582,1.517584753289624
870.0,52.0,871.4234,51.521873,0.8373114,1.5217001174323876
918.0,96.0,917.6111,97.60178,0.30978304,1.5329472317128177
473.0,340.0,473.80524,339.4267,0.43219444,1.5401046228238493
854.0,68.0,855.04865,66.97569,0.35387135,1.5683206069352962
862.0,68.0,860.6089,68.82454,0.676453,1.570113273177577
892.0,40.0,892.0517,38.594448,0.8745632,1.574374502991786
884.0,52.0,882.6491,51.434383,0.2605142,1.5944284396082946
616.0,468.0,616.33734,466.58594,0.21342695,1.605202605212803
894.0,40.0,893.0789,38.900894,0.9232308,1.6171486555714847
870.0,56.0,871.4011,55.249676,0.95934945,1.6357413988002591
852.0,76.0,853.6227,76.49908,0.39332864,1.6448265740894512
902.0,80.0,903.4678,81.08012,0.78385025,1.6515039048218019
814.0,800.0,812.8477,801.18726,0.3395306,1.6575142387411503
742.0,148.0,743.02466,149.28267,0.52071756,1.6606539471573565
900.0,68.0,899.6386,69.77473,0.45956028,1.6753313479893628
718.0,164.0,716.79254,162.72533,0.33523417,1.7159641000984214
902.0,68.0,902.1063,69.888824,0.81910175,1.7263875487192182
926.0,92.0,927.41077,93.37914,0.609566,1.7642546462283004
645.0,212.0,643.75555,213.61584,0.7389848,1.77544092034054
629.0,236.0,627.1952,237.10913,0.2119729,1.7765016849864241
916.0,96.0,915.2868,94.58136,0.21975496,1.7822610171031157
886.0,72.0,887.5605,71.15264,0.8560977,1.798641367185842
900.0,80.0,901.6256,81.11525,0.41698384,1.805993182613616
852.0,80.0,853.79596,80.45311,0.66704714,1.8065671805964196
772.0,800.0,773.6567,799.5401,0.5703568,1.8083486035377054
868.0,56.0,868.3291,54.37503,0.58283603,1.8100398675782445
870.0,72.0,871.2256,73.52901,0.817468,1.8100522648303252
862.0,56.0,862.6828,54.449627,0.5004256,1.8317432794685744
908.0,88.0,909.5221,89.332504,0.47980464,1.839172721331522
700.0,172.0,700.6728,170.5112,0.46324593,1.8415159377844392
768.0,800.0,769.1575,801.30444,0.36126202,1.8470318034914097
433.0,640.0,433.72748,641.2217,0.32069835,1.87550363593894
892.0,52.0,893.96594,52.160057,0.7524228,1.8862817635335363
900.0,64.0,900.87,65.88651,0.7421761,1.8902627240382286
892.0,48.0,890.2586,48.730236,0.3752846,1.9062349205784852
766.0,796.0,766.21313,797.839,0.30873853,1.9063570655151858
894.0,64.0,895.86005,63.449673,0.6598085,1.9145265665049045
916.0,96.0,915.3983,97.93156,0.37209606,1.9159548782036164
902.0,64.0,902.93823,65.90325,0.9175312,1.9327258876236468
878.0,44.0,878.7797,42.36093,0.9698039,1.9446230884506486
688.0,180.0,689.27374,178.87914,0.22551325,1.9620885309344183
868.0,56.0,869.4527,54.795452,0.95836186,1.965260869827632
892.0,64.0,894.07666,63.86519,0.84898895,2.0187360043930056
886.0,72.0,888.0264,71.50021,0.68106896,2.0643973901638857
862.0,64.0,860.17285,63.25788,0.9207045,2.0647187669391442
812.0,800.0,810.5703,801.51575,0.3461877,2.0851499030215894
884.0,76.0,885.0745,74.321976,0.29220533,2.094703905935397
846.0,84.0,847.1189,82.371445,0.5699562,2.100762596334261
441.0,636.0,442.36932,635.3794,0.232379,2.1041707079876604
886.0,76.0,887.63806,74.75227,0.33873913,2.10615090699272
878.0,48.0,876.7753,46.435024,0.9234902,2.1527304262885143
892.0,72.0,894.1144,72.91265,0.41748652,2.1689327594314616
700.0,176.0,700.8777,174.24884,0.8272305,2.170392780099185
924.0,96.0,925.51697,97.862915,0.31524077,2.195977191810939
776.0,800.0,775.31604,802.1135,0.52115417,2.231826051557078
894.0,48.0,891.9885,49.032883,0.33692878,2.2663904518240963
894.0,68.0,896.3089,68.61291,0.6324482,2.270890650957857
902.0,192.0,901.5896,194.38307,0.39567345,2.309393410192547
844.0,84.0,845.9312,82.86854,0.49270624,2.3178173769122434
605.0,452.0,602.5205,453.02435,0.38246545,2.3179801124596255
942.0,120.0,943.4597,122.0768,0.2736338,2.3193582776422756
868.0,52.0,869.92236,50.710625,0.3645328,2.377386166920991
553.0,756.0,554.79535,756.77606,0.61437845,2.406491516329153
892.0,48.0,894.40656,47.462597,0.5386964,2.4311127553000444
892.0,44.0,893.433,42.1351,0.5825621,2.441878774192026
838.0,72.0,835.81244,73.29748,0.32308602,2.4602635643605826
553.0,760.0,554.68494,761.2312,0.5963143,2.5035632959209635
902.0,84.0,904.2074,85.63358,0.28206605,2.5750315245771516
742.0,144.0,740.15405,146.08961,0.27992824,2.584743689673373
908.0,84.0,910.50684,85.14481,0.710499,2.594680073223938
852.0,68.0,853.7543,66.232445,0.5816256,2.59468151117389
696.0,180.0,697.8242,178.51791,0.32952327,2.608222376174096
653.0,572.0,655.36725,572.0707,0.615115,2.6712345997068896
892.0,68.0,894.6435,68.97673,0.94089764,2.690027177845395
764.0,800.0,765.6211,802.04504,0.20635688,2.7139405110435852
568.0,580.0,569.7744,578.4226,0.27483326,2.718248877372096
870.0,48.0,871.80994,46.06192,0.5299911,2.745952050283107
886.0,44.0,887.65704,41.89081,0.3257218,2.774985761901338
870.0,76.0,872.20337,77.91706,0.6107595,2.7859034500769577
784.0,140.0,785.65204,142.30493,0.50042844,2.7897210257251848
645.0,492.0,642.41956,490.37952,0.25011477,2.79783919978526
884.0,48.0,884.89136,45.467834,0.55097294,2.821133972279565
337.0,476.0,339.0255,475.735,0.25054502,2.8635801885752943
868.0,72.0,869.8898,74.4472,0.42776945,2.942996856135382
886.0,48.0,888.4021,46.17031,0.5959766,3.0695899773954296
870.0,72.0,871.8406,75.36181,0.72567636,3.6732658763481765
704.0,172.0,706.6116,169.68758,0.21560557,3.7349820623176058
